id,title,date_published,n_tags,primary_subject,n_description_chars,title_len
t3enh_v3,Tracking the mind’s eyes: Spatiotemporal Dynamics of Domain-General and Domain-Specific Visual Mental Imagery,2026-05-12 22:17:28.243300+00:00,5,Cognitive Neuroscience,1809,109
t3enh_v2,Tracking the mind’s eyes: Spatiotemporal Dynamics of Domain-General and Domain-Specific Visual Mental Imagery,2026-05-12 22:17:06.737801+00:00,5,Cognitive Neuroscience,1809,109
s96ym_v1,Transdiagnostic Predictors of Job Tenure in People Living with Mental Disorders: A Scoping Review,2026-05-12 22:15:25.632391+00:00,0,Psychiatry,1947,97
98d4n_v1,Designing Vocabulary Multiple-Choice Tests For Exploring Word Frequency Effects In Distributional Semantics,2026-05-12 22:14:12.541262+00:00,0,Computational Linguistics,1640,107
8hjw5_v1,Construction and Validation of the Deliberate Ignorance Scale (DIS),2026-05-12 22:12:43.982470+00:00,5,Psychometrics,1305,67
g8a4f_v1,The Relationship Between Parenting Styles and Children’s Problem Behavior During the Transition to Preschool: The Moderating Role of Salivary Cortisol,2026-05-12 21:58:02.344006+00:00,1,Developmental Psychology,1652,150
ckr83_v1,Understanding Work–Family Enrichment Through a Cultural Lens: A Scoping Review,2026-05-12 21:57:16.624765+00:00,0,Industrial and Organizational Psychology,792,78
kqhwr_v2,Investigating the prospective associations of dietary risk factors with the risk of incident depression and anxiety in adulthood: Evidence from the UK Biobank,2026-05-12 21:55:40.135737+00:00,7,Psychiatry,2668,158
4zrwy_v3,Context-dependent acoustic dimensions underlying voice discrimination: Evidence from interpretable machine learning modeling of human perception,2026-05-12 21:53:28.805775+00:00,0,Cognitive Psychology,1568,144
8xutg_v3,Modeling the Vigilance Decrement in a Two-Boundary Signal Detection Task,2026-05-12 21:50:21.202685+00:00,6,Attention,1630,72
gf9sq_v1,Helpful but Not Trusted: Artificial Intelligence Adoption and Ethical Concerns Among Health Service Psychologists,2026-05-12 21:49:27.130935+00:00,4,Clinical Psychology,2842,113
5u8br_v4,"Assimilation to External Cues: Comparing the Reliability of Anchoring Effects, Advice Taking, and Hindsight Bias and Exploring its Determinants",2026-05-12 21:47:53.894834+00:00,21,"Psychology, other",1389,143
sk9mx_v1,Salient Distractors Shift Both Perceptual Sensitivity and Response Criterion in Visual Search: A Meta-Analytic Reinterpretation of the Early Quitting Effect: Commentary on Moher (2020),2026-05-12 21:47:22.795642+00:00,4,Meta-science,1112,184
mqakh_v1,Gender as a Moving Target: Making Up “Woman” and How the Looping Effect Can Help Advance Psychological Theories,2026-05-12 21:46:48.367159+00:00,6,Meta-science,1762,111
ustxa_v1,Large language models are still far from replacing human participants,2026-05-12 21:45:34.648911+00:00,3,Meta-science,307,69
n9gy3_v1,Decision-making under risk and substance use experimentation among adolescents,2026-05-12 21:44:46.934539+00:00,5,Psychiatry,2346,78
usf97_v1,Metacontingency Analysis of Practices Associated to Mental Health,2026-05-12 18:47:18.368944+00:00,4,Social and Behavioral Sciences,963,65
u3vzj_v1,Are personalized networks worth it? An experimental study,2026-05-12 17:26:10.975017+00:00,5,Psychotherapy,1552,57
52wdh_v1,Identifying the visual and linguistic sources of reading efficiency:  A comparison of individual differences among deaf and hearing readers,2026-05-12 17:25:20.695098+00:00,0,Language,1476,139
wpt5b_v1,Mapping the neural dynamics of learning others' social preferences from decision timing,2026-05-12 17:24:18.033173+00:00,0,Cognitive Neuroscience,1468,87
qdwv8_v2,The psychology of cringe,2026-05-12 17:23:40.713467+00:00,11,Affect and Emotion Regulation,1806,24
6g9ed_v2,Does the Speaker Matter: EEG Evidence on the Influence of  Voice Information on Phoneme Learning in Infancy,2026-05-12 17:23:13.463752+00:00,6,Developmental Neuroscience,1551,107
zephb_v2,Voice-Familiarity Benefit in Infant Phoneme Perception: Acoustic versus Exemplar-based Familiarity,2026-05-12 17:22:06.558280+00:00,6,Developmental Neuroscience,1896,98
pwfxv_v1,The Musical Meaning Inventory: Development and Validation of a State-Based Measure of Musical Meanings,2026-05-12 17:21:39.306083+00:00,8,Music,1531,102
2qdh7_v1,Surpassing the Average Therapist: Performance of Commercial and Open-Source Large Language Models in Official Psychotherapist License Exams,2026-05-12 17:21:09.455997+00:00,3,Psychiatry,2583,139
tbp5x_v1,Neurocognitive mechanisms of individual differences in cognition: a behavioral performance and EEG dataset,2026-05-12 17:20:11.953241+00:00,5,Cognitive Neuroscience,1059,106
5n3ps_v3,Object and Setting Identification in Natural Auditory Scenes,2026-05-12 17:18:25.330557+00:00,4,Computational Modeling,1768,60
emp6j_v1,The Calm Before the Cancel Culture? Development of the “Pressure for a Perfect Conduct” scale,2026-05-12 17:14:54.417148+00:00,6,Theory and Philosophy of Science,1563,93
zrnsj_v1,Developmental variation from rational choice,2026-05-12 17:14:20.436602+00:00,4,Developmental Psychology,1773,44
jqcv6_v1,Learning Second Language Intonation Through Multimodal High-Variability Training: The Role of Hand and Facial Gestures in Intonation–Meaning Mapping,2026-05-12 17:11:53.899342+00:00,5,Applied Linguistics,2023,148
as95m_v1,Cognitive control supports memory performance via internal strategy use in aging,2026-05-12 17:11:06.343579+00:00,3,Cognitive Neuroscience,1397,80
gd6rt_v1,"Wellbeing, Energy, and Work Functioning Among Autistic and ADHD Employees: A Mixed-Methods Longitudinal Study of the Hybrid Digital Support Tool Brain in Hand",2026-05-12 17:09:29.409926+00:00,6,Innovation and Technology,2796,158
9p8ed_v1,Curiosity As A Low-Effort Mechanism For Emotion Regulation,2026-05-12 15:17:26.614980+00:00,0,Memory,1485,58
j7thr_v1,Vitamin D intake during pregnancy is associated with attenuated Season-of-Birth effects on infants’ language.,2026-05-12 15:02:24.860103+00:00,4,Developmental Psychology,1130,109
5u67v_v3,"Too Little, Too Much: Evidence for Quadratic Patterns in Emotion Regulation Strategy Use in Daily Life",2026-05-12 14:53:02.239661+00:00,4,Emotion,1744,102
8yuvm_v1,Effects of active learning and talker variability on preschoolers' novel word learning,2026-05-12 14:50:01.855637+00:00,0,Developmental Psychology,1254,86
azb4d_v2,Testing within-person correlates of daily fearlessness about death in young adults,2026-05-12 14:49:41.458912+00:00,5,Psychiatry,1366,82
yzp47_v1,Body position classification using wearable sensors in infants with cerebral palsy,2026-05-12 14:48:34.757970+00:00,0,Infancy,1679,82
haezp_v2,Rethinking Talent in Vocabulary Learning:  A Developmental Perspective,2026-05-12 14:48:15.030535+00:00,6,Neuroscience,1872,70
q65rt_v1,Why Some Gestures Work Better Than Others: Toward a Model of Gesture-Supported Vocabulary Learning,2026-05-12 14:47:47.892615+00:00,7,Neuroscience,1768,98
r3nbd_v1,Within- and cross-task cued congruency effects: evidence that control adaptation strategies can transfer between stimuli and tasks,2026-05-12 14:44:48.244424+00:00,3,Action,1379,130
us5d3_v2,Standardizing Predictors for Computing Effect Sizes in Multilevel Modeling with Random Slopes,2026-05-12 14:44:19.570303+00:00,5,Quantitative Methods,1259,93
d6v5t_v5,A Beta Way: A Tutorial on Bayesian Beta Regression for Psychological Research,2026-05-12 14:42:15.339769+00:00,0,Quantitative Methods,1290,77
n65xa_v1,Before Flow: Pre-Task Motivation and Challenge Expectancy as Primary Antecedents,2026-05-12 14:22:09.296128+00:00,5,Music,1766,80
mbcu6_v3,Attitudes Toward Open Science Practices Among German Psychologists,2026-05-12 14:19:56.647141+00:00,7,Meta-science,1650,66
8wtqx_v1,Empirically derived phenotypes can reduce diagnostic heterogeneity,2026-05-12 14:18:26.621968+00:00,5,Psychiatry,1891,66
aysze_v1,Statistical Reasoning regarding Possible Adverse Outcomes of Vaccination,2026-05-12 14:16:26.096880+00:00,5,Individual Differences,1473,72
ngb5p_v1,Daily symptom associations in prolonged grief: a dynamic network approach,2026-05-12 14:11:35.243737+00:00,0,Psychometrics,2144,73
zu8aq_v1,A Meta-analysis of Heart Rate Variability (HRV) and Psychopathology: An Investigation Guided by the Hierarchical Taxonomy of Psychopathology (HiTOP) Framework,2026-05-12 14:10:22.469012+00:00,3,Clinical Psychology,1774,158
deu2p_v1,Estimating Network Temperature Through Multi-Group Ising Modeling,2026-05-12 14:09:52.291115+00:00,5,Psychometrics,1232,65
exkzp_v2,Difficulties in Identifying Causes of Emotions Prospectively Predict the Persistence of Suicidal Thoughts: A Six-Week Longitudinal Study,2026-05-12 14:09:08.009624+00:00,4,Clinical Psychology,1838,136
f6tja_v1,Extending Reproducibility to Theory: Theoretical Reproducibility and Precision as Foundations of Cumulative Science,2026-05-12 13:57:05.687806+00:00,6,Meta-science,1757,115
zva9y_v2,Stability in Daily Well-Being in Romantic Relationships Versus Singlehood Among Young Adults,2026-05-12 13:54:22.226139+00:00,3,Social and Personality Psychology,1776,92
g9wmx_v2,Epistemic disadvantage in open science practices,2026-05-12 13:49:15.299267+00:00,5,Meta-science,1359,48
74mbt_v1,A Short Scale for Assessing the Desire for Governmental Intervention in Climate Policy Research,2026-05-12 13:46:24.802950+00:00,5,Social and Behavioral Sciences,1299,95
qe9w3_v1,Attentional Advantage in Gifted Children Is Selective to High-Demand Exploitative Tasks: Evidence from TEPR,2026-05-12 13:39:45.447106+00:00,4,Developmental Psychology,1581,107
86279_v1,A systematic review of the effects of cognitive and perceptual factors on X-ray baggage screening performance,2026-05-12 13:39:12.439889+00:00,6,Employee Behavior and Motivation,1973,109
vujta_v3,"DECISIONS, VARIABILITY, AND VISUALIZATION: A NOVEL INSTRUMENT FOR DECISION MAKING UNDER VARIABILITY",2026-05-11 19:06:03.179439+00:00,5,Social and Behavioral Sciences,773,99
u46fp_v1,How well do linguistic systems fulfil their functions? A typology of linguistic quality measures,2026-05-11 14:36:53.024525+00:00,9,Linguistics,752,96
b5vc8_v1,Causal language about social interactions,2026-05-11 14:34:46.012469+00:00,5,Linguistics,1149,41
sjzyt_v1,Social and Community Influences on Language Switching  in Bilingual Toddlers’ Everyday Input,2026-05-11 14:33:20.420499+00:00,6,Early Childhood,1662,92
raxge_v1,What You See is What You Regret,2026-05-11 14:32:36.078018+00:00,4,Emotion,903,31
bx952_v3,Infant Brain Responses in Speech Perception: A Quantitative Review of the Factors influencing the Polarity of the Mismatch Response,2026-05-11 11:26:08.073801+00:00,9,Developmental Neuroscience,1377,131
ya3c5_v2,Pertsch: A Corpus of Persian and German Based on Different Speech Elicitation Tasks,2026-05-11 11:25:15.839056+00:00,6,Phonetics and Phonology,1437,83
vx8a5_v1,“I just feel like every day I’m missing out”:  Young people’s experiences of living with Long Covid,2026-05-11 11:21:47.026212+00:00,9,Developmental Psychology,1937,99
p6b2e_v3,A Megastudy of Behavioral Interventions to Increase Voter Registration Ahead of the 2024 U.S. Presidential Election,2026-05-11 11:15:17.161729+00:00,0,Politics,1057,115
8xutg_v2,Modeling the Vigilance Decrement in a Two-Boundary Signal Detection Task,2026-05-11 11:12:42.644232+00:00,6,Attention,1630,72
bdxg4_v3,"Generative Similarity, Generalization, and Abstraction",2026-05-11 11:07:25.616714+00:00,6,Neuroscience,1385,54
qw2pm_v2,Cryptic Re-perception: A Cognitive Framework for Creative-Critical Thinking,2026-05-11 11:05:09.328348+00:00,8,Creativity,2266,75
s4mp6_v1,Minutes that matter: A microburst approach to adolescents’ resolution of affect in response to daily stressors,2026-05-11 11:04:43.311234+00:00,4,Clinical Psychology,1203,110
ebgrm_v1,Exploring whether the Conscioussness mediate the relation between the Presentation of False Self on SNS and Narcissism,2026-05-11 11:04:06.833878+00:00,0,Social and Behavioral Sciences,2305,118
kg8de_v1,Let's be friends! People work together even when there is no incentive to do so,2026-05-11 11:02:49.322019+00:00,3,Computational Modeling,1166,79
5fhrx_v1,"Boys and Things, Girls and People?  Gender-Related Interest Patterns in Elementary School",2026-05-11 11:01:46.411424+00:00,5,Middle & Late Childhood,1823,89
7uhg2_v1,"Replicating insight, insights from replication: Methodological reform in creativity research",2026-05-11 10:59:23.475783+00:00,7,"Psychology, other",1267,92
tc2gq_v1,Restricted Environmental Stimulation and Psychopathology,2026-05-11 10:58:44.712562+00:00,16,Psychiatry,999,56
jps5a_v1,Interaction Between Attributes and Familiarity in Consumer Preferences for Olive Oil: Using Consumers’ Residence as a Proxy for Familiarity,2026-05-11 10:57:23.567397+00:00,0,Social and Behavioral Sciences,1428,139
jc3md_v3,"Exploring Predictors of Phantom Phone Signals: Phone Use, Hallucination-Proneness and Delusional Ideation",2026-05-11 10:56:29.178525+00:00,0,Clinical Psychology,1515,105
e6s5x_v1,Category-Specific Sensitivity Allows Modeling Variability Effects in a Similarity Framework,2026-05-11 08:08:14.372904+00:00,5,Concepts and Categories,1540,91
6g9ed_v1,Does the Speaker Matter: EEG Evidence on the Influence of  Voice Information on Phoneme Learning in Infancy,2026-05-11 08:07:19.021725+00:00,6,Developmental Neuroscience,1551,107
g69za_v1,Responsibility for influencing others,2026-05-10 15:30:30.511488+00:00,3,Social Cognition,1017,37
63peq_v1,The Word-Riddle Paradigm for Studying Cheating in Middle Childhood: Evidence from a Twin Study,2026-05-10 15:27:50.505984+00:00,5,Moral Development,1746,94
zephb_v1,Voice-Familiarity Benefit in Infant Phoneme Perception: Acoustic versus Exemplar-based Familiarity,2026-05-10 15:25:05.956943+00:00,6,Developmental Neuroscience,1896,98
5d8jp_v2,Breaking barriers to accessing mental healthcare for autistic people: the Autistic SPACE Framework for adult mental health settings,2026-05-10 15:23:53.963545+00:00,4,Psychiatry,1108,131
f97dx_v1,Group-Based Factors in Survivors’ Migration and Post-Disaster Recovery,2026-05-10 15:21:18.206543+00:00,5,Intergroup Processes,1354,70
uy8sz_v1,LLM-generated possibilities increase blame attribution,2026-05-10 15:17:40.562632+00:00,7,Cognitive Psychology,1042,54
sf9y2_v1,Action understanding with presentational goals,2026-05-10 15:16:50.557061+00:00,5,Prosocial Behavior,1127,46
5r7zn_v2,Advancing Behavioral Avoidance Assessment: A Refined Psychometric Framework to Measure Avoidance Behavior,2026-05-10 15:12:49.848431+00:00,4,Mental Disorders,1136,105
epz2u_v1,Perturbing postural stability affects acoustic properties but not fluency of adult speech production during face-to-face interaction,2026-05-10 15:11:54.067845+00:00,20,Physiology,1328,132
nt49v_v1,Measuring workplace fear of missing out in French-speaking employees: psychometric evidence for 10-item and 6-item scales,2026-05-10 15:10:27.763155+00:00,8,Industrial and Organizational Psychology,2643,121
5evfg_v1,SPIV analysis: A heuristic meta-method for detecting non-random patterns in study data,2026-05-10 11:52:14.647524+00:00,4,Meta-science,1250,86
gqf3a_v1,Action video game experience is associated with more consistent action timing across object speeds,2026-05-10 11:50:42.235074+00:00,0,Cognitive Neuroscience,1223,98
4t857_v1,The Cultural Evolution of Human Goals,2026-05-10 11:48:42.040529+00:00,7,"Psychology, other",997,37
jfv3k_v2,Children’s representations of possibility: Uncertainty about “what” is easier than uncertainty about “where”,2026-05-10 11:46:58.282387+00:00,7,Developmental Psychology,1008,108
n3cwj_v3,Invariants of developmental variation,2026-05-10 11:43:59.510312+00:00,4,Cognitive Neuroscience,1768,37
5g84k_v1,Designing Minds: Toward Systematic Integration of Psychological Science in Design for Augmented Humanity,2026-05-10 11:30:10.522068+00:00,1,Meta-science,1500,104
x5v9j_v1,Embodied and Embedded Cognitive Development,2026-05-10 11:26:43.672261+00:00,8,Developmental Psychology,1528,43
7ydcm_v2,Why Did the Gender Gap in Adolescent Life Satisfaction Grow? Evaluating Methodological and Demographic Explanations,2026-05-10 11:24:50.661486+00:00,4,Social and Personality Psychology,1471,115
4v756_v1,"The intersecting barriers and enablers of leisure engagement among UK older adults across individual, local, and societal levels",2026-05-10 11:04:27.041197+00:00,0,Social and Behavioral Sciences,1695,128
scp6w_v1,From paper to smartphone: Developing a mobile cognitive assessment of visuospatial functions,2026-05-10 11:03:04.573393+00:00,0,Cognitive Psychology,1184,92
swxmt_v1,The Role of Repetition in Groove Experience,2026-05-10 11:00:55.778268+00:00,6,Neuroscience,1091,43
kfsrd_v1,"Representations of Orthographic, Phonological, Semantic, and Intermediate Mappings During English Word Reading",2026-05-10 10:39:20.926430+00:00,6,Cognitive Neuroscience,1656,110
36zrp_v1,How to make a reasonable person,2026-05-10 10:31:04.726979+00:00,4,Forensic and Legal Psychology,1075,31
4zrwy_v1,Context-dependent acoustic dimensions underlying voice discrimination: Evidence from interpretable machine learning modeling of human perception,2026-05-10 10:28:06.030808+00:00,0,Cognitive Psychology,1568,144
x2rdc_v3,Working memory constraints on replanning following distraction,2026-05-10 10:21:42.932817+00:00,0,Problem Solving,1773,62
gmy4s_v2,Insufficient Information to Trust: Visualizations of Averages Rated Less Trustworthy than Visualizations of Individual Data,2026-05-10 10:20:18.958129+00:00,4,Meta-science,1491,123
6mncz_v1,Advertisements in conversations with AI hurt perceptions of AI support,2026-05-10 10:19:03.977032+00:00,6,Social and Behavioral Sciences,919,70
zwp5g_v1,Unfamiliar Faces Attenuate the Boundary Extension Effect,2026-05-10 10:11:52.853725+00:00,0,Perception,1235,56
mdxvs_v2,Text-measured cognitive complexity predicts belief revision in AI persuasion,2026-05-10 09:47:14.739690+00:00,0,Social and Personality Psychology,1728,76
vctq6_v10,Bounded rationality and human development,2026-05-10 09:33:40.760242+00:00,0,Developmental Psychology,1882,41
hd6px_v1,From chopped to cooked: Design and inference in physical environments,2026-05-10 09:14:45.587272+00:00,5,Cognitive Psychology,1005,69
jv9e4_v2,A Response to Pek et al.’s Commentary on Z-Curve: Clarifying the Assumptions of Selection Models,2026-05-10 09:14:05.835842+00:00,5,Social and Behavioral Sciences,1369,96
ysj3w_v1,"Guarded Slumber: Dynamic Disconnection, Selective Monitoring, and the Balance of Information Processing during Sleep",2026-05-10 09:12:17.883375+00:00,4,Cognitive Neuroscience,1498,116
jg372_v2,Prediction in action: toward an empirical science of active inference,2026-05-10 09:09:07.879571+00:00,6,Computational Neuroscience,1805,69
83zke_v2,"Expérience Intérieure : Concepts, Modèles, Méthodes et Implications en Psychologie, une Scoping Review",2026-05-08 19:12:38.788835+00:00,0,Social and Behavioral Sciences,1358,102
5tshr_v1,Plasticidad sináptica dependiente de la experiencia durante los períodos críticos y sensibles en la primera infancia (0–6 años): una revisión integradora,2026-05-08 18:39:23.516841+00:00,11,Developmental Neuroscience,2757,153
c4jqr_v1,Making Open Science Multilingual: Lessons from the Turkish Adaptation of FORRT’s Open Science Glossary,2026-05-08 18:34:15.914699+00:00,5,Social and Behavioral Sciences,1718,102
6sazc_v1,Methodological Innovations for Measuring Multifaceted Emotions in Context,2026-05-08 18:33:03.552970+00:00,8,Emotional Development,1218,73
bj3g9_v2,The Tip of the Iceberg? Insights into the Prevalence of Publication Bias in Two Probability-Based Academic Panels,2026-05-08 18:32:32.130059+00:00,5,Meta-science,1781,113
t4ewc_v2,Changing minds without changing hearts? Experimental evidence that inoculation improves discernment of antisemitic misinformation on social media but may be limited in changing identity-driven attitudes,2026-05-08 18:19:54.118428+00:00,1,"Psychology, other",1353,202
d9r4k_v1,Beyond Open Repositories: The Need for an Empirically Guided Metascientific Framework in Precision Functional Mapping,2026-05-08 17:05:05.486744+00:00,0,Computational Neuroscience,1473,117
zxjht_v1,Are two senses better than (n)one? A systematic review showing advantages of multisensory stimulation for motor learning outcomes.,2026-05-08 17:04:18.446331+00:00,0,Life Sciences,1735,130
47bq3_v1,A comprehensive systematic review of the psychometrics of left-wing ideology,2026-05-08 17:03:33.479770+00:00,0,Politics,1349,76
gn4ch_v2,Semantic Cognition for and from Language Models,2026-05-08 17:02:53.265864+00:00,4,Neuroscience,811,47
te8xq_v5,Why don’t web survey monitors complete a survey? An analysis of response refusal and discontinuation,2026-05-08 16:56:20.460931+00:00,0,Social and Behavioral Sciences,833,100
z5yed_v1,"Frequently Asked Parenting Questions: A Topic Modeling Approach to Trends in Parenting Advice Columns in Dutch Periodicals, 1946-2024",2026-05-08 16:49:58.570686+00:00,7,Parenting,1748,133
6qf9p_v2,Changing moral beliefs and behaviors using human-AI dialogues,2026-05-08 16:49:25.334658+00:00,5,Prosocial Behavior,1531,61
qbwnf_v3,Content-specific and temporally evolving neural correlates of dream experiences,2026-05-08 16:32:02.062989+00:00,0,Neuroscience,1346,79
jqx7n_v1,AIScreening: A Structured-Output Pipeline and Prompt-Policy Benchmark for LLM-Assisted Title and Abstract Screening,2026-05-08 16:31:38.217651+00:00,7,Meta-science,1667,115
vs2mk_v5,The Potential of Synthetic Twins for Personalized Behavioural Interventions at Scale,2026-05-08 16:30:30.863026+00:00,7,Social and Behavioral Sciences,1797,84
pdu69_v1,Teaching Adults to Respond to Suspected Opioid Overdose:  A Proof-of-Concept Evaluation of Behavioral Skills Training,2026-05-08 15:53:42.674284+00:00,11,Social and Behavioral Sciences,817,117
d59ah_v5,"Single-trial principal components analysis of event-related potentials: Back-projection, theoretical rationale, empirical evaluation, and reliability",2026-05-08 15:48:14.417334+00:00,10,Computational Neuroscience,2041,149
gfmzc_v1,Morphological analysis when morphemes are hard to detect: evidence from infixation and reduplication,2026-05-08 15:46:42.799696+00:00,5,Cognitive Psychology,1560,100
wd2yf_v1,Using Life Satisfaction to Evaluate the Impacts of Industrial Robots,2026-05-08 15:44:26.725084+00:00,8,Well-being,1099,68
24ct7_v1,Empathy of General-Purpose GenAI Models in Mental Health Context: A Scoping Review,2026-05-08 15:42:14.555662+00:00,5,Clinical Psychology,1601,82
yved4_v1,Personal evaluation of narrator-to-story fit is a stronger predictor of audiobook enjoyment than crowd-sourced opinion.,2026-05-08 15:41:07.507597+00:00,0,Perception,1194,119
p28bj_v1,“Don’t confuse your tired with my fatigue”: A content analysis of TikTok media relating to Myalgic Encephalomyelitis/Chronic Fatigue Syndrome and Long COVID,2026-05-08 15:23:55.178504+00:00,0,Illness,1752,156
s7g2b_v1,LLMorphism: When humans come to see themselves as language models,2026-05-08 15:23:15.965779+00:00,6,Narrative Research,1286,65
ucmrg_v1,Through Human Eye: Can a Robot Possess a Sense of Self?,2026-05-08 15:14:57.294628+00:00,3,Engineering Psychology,1014,55
yqkha_v1,"Affective and Psycholinguistic Matching in German-English Words: Norms for Valence, Arousal, Word Frequency and Length for 40 Word Pairs",2026-05-08 15:13:51.220462+00:00,0,Emotion,949,136
gn4ch_v1,Semantic Cognition for and from Language Models,2026-05-08 15:12:32.846730+00:00,4,Neuroscience,811,47
n54j9_v1,Calm but Disconnected: A Mixed-Methods Feasibility Trial of Nonviolent Communication as a Prosthetic Capability for Student Belonging,2026-05-08 14:56:11.900304+00:00,12,Clinical Psychology,2370,133
fhkz2_v1,When We Act (or Don’t): The Topography of Momentary Impulsive Action and Inaction,2026-05-08 10:38:12.924316+00:00,0,Quantitative Methods,1055,81
qsfmz_v1,Pupillary Indices of Cognitive Workload in (In-)Efficient Reference Production,2026-05-08 10:37:30.437962+00:00,4,Linguistics,882,78
hj3d7_v2,The DAWN of Well-Being: Development and Validation of Daily Assessment of Well-Being Navigation,2026-05-08 10:36:36.002490+00:00,7,Psychometrics,1160,95
g6syj_v1,Internalized Racism as a Self-Regulatory System: The Internalized Racism Process Model,2026-05-08 10:35:52.357948+00:00,6,Individual Differences,2059,86
2vuqe_v1,Body diversity to counteract body size adaptation: Testing the perceptual and attitudinal effects of a deadaptation procedure,2026-05-08 10:25:48.177423+00:00,4,Cognitive Psychology,1226,125
h9g3q_v1,Lost in Emotion?  Discrete emotion effects in word recognition differ between first and second language speakers,2026-05-08 10:25:08.277231+00:00,1,Emotion,1185,112
p9yxv_v1,"The Effect of Motivational Interviewing on Physical Impairments, Activity Limitations, and Participation Restrictions in Stroke Survivors: A Scoping Review",2026-05-08 10:23:34.766571+00:00,0,Life Sciences,2431,155
e4kqy_v1,Epistemic Cost of Loyalty: Children’s Selective Trust Balances Social and Epistemic Cues,2026-05-08 10:22:22.437027+00:00,5,Social Development,1673,88
ynvf4_v1,Democrat or Autocrat: Context Sensitivity in Children's Voting Behavior,2026-05-08 10:21:32.089001+00:00,1,Social Development,1695,71
bf87r_v1,Exploring digital support for mental well-being in difficult times: the role of self-disclosure and perceived social support via a mobile health tool,2026-05-08 09:56:53.271280+00:00,1,Health Psychology,1862,149
hycq3_v1,Does Choice Enhance Cognitive Control? Evidence for Indirect Effects via Choice History,2026-05-08 09:56:01.959120+00:00,6,Cognitive Psychology,1665,87
xp69t_v1,A harmonized trial-level dataset of picture-word interference,2026-05-08 09:55:21.233844+00:00,7,Memory,1355,61
hwsyf_v1,Psychometric Properties of the Seattle-Groningen Memory Assessment in Healthy Adults,2026-05-08 09:53:26.049009+00:00,0,Clinical Neuropsychology,1466,84
486ny_v1,Hunger and Concentration in Daily Life: Inter-Individual Differences and Breakfast-Related Variation but No Robust Average Association,2026-05-08 09:52:48.992646+00:00,8,Cognitive Psychology,1536,134
rhd9u_v1,Metacognitive expression activates attention networks and increases episodic recall detail during naturalistic film viewing,2026-05-08 09:51:16.057661+00:00,7,Cognitive Neuroscience,1827,123
g9cja_v1,The Associations of Perfectionism and Excellencism with Passion and Persistence in Highly Passionate and Less Passionate Activities,2026-05-08 08:59:50.476719+00:00,0,Social and Personality Psychology,1905,131
