county,lat_county_center,long_county_center
NORFOLK,52.30327992,0.96476705
NORTH EAST LINCOLNSHIRE,53.50963265,-0.139227538
NORTH LINCOLNSHIRE,53.57543676,-0.52370666
NORTH SOMERSET,51.3526475,-2.754328449
NORTH TYNESIDE,55.00389834,-1.509236261
NORTH YORKSHIRE,54.03710954,-1.549609543
NORTHAMPTONSHIRE,52.09006156,-0.867363454
NORTHUMBERLAND,55.26834523,-2.075107369
NOTTINGHAM,52.95517853,-1.166633976
NOTTINGHAMSHIRE,53.0331055,-1.006945853
OLDHAM,53.6599865,-2.052688246
OXFORDSHIRE,51.9377069,-1.291120655
PEMBROKESHIRE,51.87237216,-4.908193395
PETERBOROUGH,52.62512622,-0.268997563
PLYMOUTH,50.29446598,-4.112958476
PORTSMOUTH,50.91431347,-1.070266634
POWYS,52.35029106,-3.436464916
READING,51.48972752,-0.990720433
REDBRIDGE,51.74620382,0.070100076
REDCAR AND CLEVELAND,54.5267558,-1.00574666
RICHMOND UPON THAMES,51.40228741,-0.289242513
ROCHDALE,53.67735601,-2.148151883
ROTHERHAM,53.27570833,-1.286609956
RUTLAND,52.66743079,-0.625584457
SALFORD,53.39898509,-2.384897733
SANDWELL,52.58691177,-2.007628032
SEFTON,53.41755508,-2.99189735
SHEFFIELD,53.59454838,-1.542754388
SHROPSHIRE,52.68430157,-2.736687571
SLOUGH,51.50037556,-0.576104025
SOLIHULL,52.36592232,-1.71571703
SOMERSET,51.15209001,-3.295339284
SOUTH GLOUCESTERSHIRE,51.61982918,-2.469430627
SOUTH TYNESIDE,54.99470602,-1.4469507
SOUTHAMPTON,50.9848178,-1.400278658
SOUTHEND-ON-SEA,51.56216877,0.706990767
SOUTHWARK,51.26248203,-0.073064855
ST. HELENS,53.44224628,-2.703243804
STAFFORDSHIRE,52.54942592,-2.027493547
STOCKPORT,53.24357467,-2.124899323
STOCKTON-ON-TEES,54.60355048,-1.306389301
STOKE-ON-TRENT,53.00187622,-2.158814783
SUFFOLK,52.07329189,1.049039969
SUNDERLAND,54.95658882,-1.433573037
SURREY,51.75818155,-0.338637427
SUTTON,51.33189097,-0.17228968
SWANSEA,51.7343163,-3.967179804
SWINDON,51.64297555,-1.733636248
TAMESIDE,53.41856241,-2.076946518
TELFORD AND WREKIN,52.70917159,-2.489472136
THURROCK,51.50818142,0.334927818
TORBAY,50.49404551,-3.555165295
TORFAEN,51.69897043,-3.050933849
TOWER HAMLETS,51.68484915,-0.036381391
TRAFFORD,53.31462114,-2.365656069
VALE OF GLAMORGAN,51.47709303,-3.398002733
WAKEFIELD,53.8167796,-1.420853555
WALSALL,52.74274291,-1.970331589
WALTHAM FOREST,51.72349115,-0.018861804
WANDSWORTH,51.24653724,-0.200174464
WARRINGTON,53.33855889,-2.561565842
WARWICKSHIRE,52.0484615,-1.56863748
WEST BERKSHIRE,51.4729636,-1.274018089
WEST SUSSEX,51.11483236,-0.459352717
WESTMINSTER,51.61333443,-0.152982598
WIGAN,53.58762665,-2.572383452
WILTSHIRE,51.48576087,-1.926539687
WINDSOR AND MAIDENHEAD,51.49461585,-0.675393902
WIRRAL,53.23721132,-3.065081713
WOKINGHAM,51.45965865,-0.89937135
WOLVERHAMPTON,52.71683689,-2.127596772
WORCESTERSHIRE,52.05798428,-2.209184462
WREXHAM,53.00078604,-2.99195713
YORK,53.99233895,-1.073789904
