subject,condition,rt_ms
39,incongruent,447.6200070608157
13,congruent,443.27277186660626
36,incongruent,385.47980577253304
39,incongruent,567.7407359199194
23,incongruent,533.1437118941315
37,incongruent,416.58099791813504
14,incongruent,656.6049593994575
4,incongruent,535.812987036274
5,incongruent,466.8445503689402
22,incongruent,560.5354938820567
45,congruent,488.85572109447145
7,congruent,394.3645319862926
23,congruent,432.1955508332369
35,incongruent,510.80511605967575
10,congruent,508.07842334320117
36,congruent,478.0519684115902
15,congruent,577.6725808857009
40,incongruent,399.28946801229256
29,congruent,488.09259239895346
27,incongruent,467.9182330321686
9,incongruent,595.6720548291564
23,incongruent,456.34523786447255
42,incongruent,558.7941310979581
1,congruent,617.1952511711818
38,congruent,514.1549546176913
25,incongruent,564.8896575763188
36,incongruent,564.2442527396538
33,incongruent,569.9830012746429
22,congruent,422.3239400615846
16,incongruent,509.5040650326531
31,congruent,414.50475514666687
7,congruent,585.7844332784966
29,congruent,364.25311694840195
5,incongruent,541.1189750845175
32,congruent,490.8636392379001
31,incongruent,473.71520364682067
5,congruent,356.687058105225
38,congruent,493.89712428515287
21,congruent,391.3268055277381
39,congruent,470.18361710797086
3,congruent,508.2531871719029
9,congruent,504.4622456891977
25,incongruent,470.0280963862461
10,congruent,404.5770392136467
17,incongruent,483.62367345965936
33,congruent,627.8477004636046
8,incongruent,438.2847777253469
34,congruent,492.7137359521431
6,congruent,573.2058347171907
9,congruent,522.2169396768401
29,congruent,482.5106230287262
39,incongruent,345.73477919137906
9,congruent,445.50919818575704
15,congruent,504.7067478573598
46,congruent,495.0948368287881
49,incongruent,540.2476946489072
29,incongruent,345.94991169129617
22,incongruent,373.4523949187367
17,congruent,520.4427082662401
31,incongruent,381.96555858456344
29,congruent,414.84426159208135
15,incongruent,466.9495818306728
2,incongruent,497.1789549932669
8,congruent,524.7366728639003
47,incongruent,719.9757984341263
21,incongruent,534.5516322069697
24,incongruent,498.0002801098791
23,incongruent,470.107729376117
39,incongruent,591.3912801004473
4,congruent,366.67414555153607
5,congruent,443.5207440822063
14,incongruent,459.4398618125042
24,incongruent,496.41287774538335
33,congruent,492.4312973188127
25,congruent,474.6680649217012
22,incongruent,504.93687213473163
46,incongruent,551.6105506664705
8,congruent,376.75843930202996
29,congruent,578.9279489390811
27,congruent,360.56169447175574
24,congruent,407.8850341883365
40,incongruent,497.80912703641997
14,incongruent,459.9367121961633
47,congruent,535.8357013904667
17,incongruent,599.6009589733998
27,incongruent,374.22405803304275
26,incongruent,464.0617080167765
42,incongruent,307.886161928173
22,incongruent,494.50857696066424
14,incongruent,525.240213557771
2,incongruent,446.06107745822226
18,congruent,530.1794390471995
41,congruent,523.83038222244
1,congruent,454.22643338979435
44,incongruent,531.2811141734516
27,incongruent,412.0421527664106
7,incongruent,470.6256537507004
15,congruent,527.3691012852659
28,congruent,518.083419027465
16,congruent,499.8363363384961
6,congruent,516.25770379563
33,incongruent,472.281447251231
33,incongruent,502.8325048014506
6,congruent,442.540275729985
14,congruent,536.7371764417842
12,incongruent,566.6246932829239
33,incongruent,461.76702849544336
36,congruent,496.54216169654984
36,incongruent,436.9244569849444
46,incongruent,568.2811640804459
38,incongruent,590.491877491075
16,congruent,554.1914742913134
6,congruent,597.4330458426595
31,congruent,611.9375470486262
45,incongruent,564.138189998052
48,congruent,666.583525378745
12,incongruent,533.4353062160599
12,congruent,415.3711581076421
2,congruent,518.8604840122778
7,congruent,541.4079745127721
28,congruent,383.7667314751534
27,incongruent,657.3009148447394
19,congruent,547.2746117258454
16,incongruent,480.7186245441458
41,congruent,562.9651768255289
23,incongruent,517.3418696428234
40,incongruent,539.0795681349241
48,incongruent,570.5012292031975
16,congruent,560.9495745225014
10,incongruent,579.3348572065304
47,incongruent,546.0081924839936
32,incongruent,520.3284280824308
15,congruent,449.6475721818416
31,congruent,528.7355952866593
26,incongruent,459.9002513683282
45,congruent,488.1051630201131
13,congruent,542.1775235567281
49,congruent,477.56901323306295
46,congruent,438.5389307759973
9,congruent,586.4433796466585
9,congruent,566.5531328853584
27,incongruent,403.29511992628943
3,congruent,478.04656175400686
15,congruent,463.2658242981543
22,congruent,407.4247153895784
48,congruent,456.8242089351687
49,incongruent,472.2906492737127
8,incongruent,449.1197552545084
44,congruent,445.5236788140444
5,incongruent,552.656551097187
37,congruent,411.39903720081037
42,congruent,522.1898342474348
44,incongruent,567.2452883926499
11,incongruent,510.6251408949395
44,incongruent,507.79415756283873
6,congruent,436.77882593553596
26,incongruent,540.5123426404107
24,incongruent,365.34309794812094
16,congruent,536.9983862997958
2,incongruent,527.2217085797137
38,incongruent,461.14493653619706
17,congruent,428.13902943461477
33,incongruent,405.0006396402657
21,incongruent,661.9564123723183
19,congruent,401.63697784871715
44,incongruent,429.0305050326234
5,incongruent,437.6010840546477
37,congruent,543.3534644128893
37,incongruent,492.30121385283104
19,incongruent,498.94783388898327
13,congruent,499.93681988112377
1,congruent,458.4982794145997
46,incongruent,630.4452540105942
47,congruent,659.3062874871882
12,incongruent,660.8152277459081
2,incongruent,443.0359036661562
7,incongruent,455.4573902318125
4,congruent,439.1885670974036
41,incongruent,517.0157238076367
44,congruent,527.2933783551674
8,incongruent,379.4627148327615
37,congruent,487.35252549825265
9,incongruent,567.753711132072
18,incongruent,585.6666896255125
30,congruent,448.8623399369446
36,incongruent,435.4781776173656
43,congruent,504.4212912338255
3,congruent,473.0942545519376
10,congruent,582.8366052201727
14,incongruent,578.5843369982817
16,incongruent,611.5925765131656
49,congruent,415.7679148756072
39,incongruent,440.29358707726976
16,congruent,501.88858076034563
48,congruent,343.15189492038644
25,congruent,552.109075742163
25,incongruent,524.075287563191
22,incongruent,614.876716943145
8,incongruent,571.3913872999672
46,congruent,553.2657099437047
1,congruent,498.7144578154939
9,congruent,542.2232031921826
12,congruent,656.3194092177353
14,congruent,525.1460417510565
7,congruent,456.80803564432017
1,incongruent,510.1408402127947
34,incongruent,583.1334818286759
48,congruent,564.4604902510575
6,incongruent,561.5017104148834
15,congruent,523.6222680533464
25,incongruent,526.4141962210865
46,incongruent,606.1090319462118
35,congruent,479.84136595763596
38,incongruent,458.0017256249023
29,incongruent,457.86784850284016
21,congruent,532.8167289075313
10,incongruent,429.7930914277458
43,congruent,500.4518052715132
40,incongruent,444.2832894618388
2,incongruent,521.7241718746008
36,incongruent,360.33984998936927
5,congruent,464.78818754624587
37,congruent,545.4408551851245
41,incongruent,594.1390891388262
7,incongruent,530.2779133144811
22,congruent,386.27756314850194
7,incongruent,427.6870297255375
28,congruent,537.5843330867356
46,incongruent,513.9583233408978
4,congruent,600.7624091882101
20,incongruent,651.8904042355232
48,congruent,528.6126626711624
15,congruent,431.0008175274032
7,incongruent,605.8462759872507
24,incongruent,402.1135400841958
25,incongruent,463.8246691385952
33,congruent,511.8162522200936
16,incongruent,500.9258487602639
47,congruent,526.174372085587
26,congruent,529.0412127322642
15,incongruent,483.7926425228727
48,incongruent,461.3245126762128
46,congruent,413.03366125241706
25,congruent,647.0735492090296
2,congruent,456.9249590758601
30,incongruent,445.47633585179227
28,congruent,416.309920197937
8,congruent,389.3212372162892
32,congruent,553.7730704983602
42,incongruent,596.0461407948336
6,incongruent,496.66788700013126
36,incongruent,542.4855173464084
7,incongruent,491.12046124957
37,congruent,476.85270180340194
21,incongruent,446.3188389955163
1,incongruent,393.4158144042192
48,incongruent,443.81317506081206
9,congruent,580.637147494141
30,congruent,509.04950519220915
9,incongruent,419.4168578397268
46,incongruent,457.4453304946407
37,congruent,471.2599115191562
40,incongruent,544.1825216646063
22,incongruent,524.1358743503679
23,incongruent,396.80575429841156
32,congruent,535.6969132557132
39,congruent,504.64553029753654
42,incongruent,560.1659425297064
1,congruent,641.5270495697607
33,incongruent,492.9082437881468
6,congruent,634.873036873158
15,congruent,557.8671105255037
41,incongruent,359.95113935550285
13,congruent,672.252587228633
40,congruent,529.0439171138373
23,congruent,497.76797724201253
12,incongruent,473.3921151395813
17,incongruent,587.0998972580088
27,incongruent,508.3013361057175
38,congruent,569.2843552131818
30,incongruent,436.4786826922385
46,congruent,602.5692595792027
43,incongruent,502.3190610665321
37,incongruent,355.91465286335426
30,congruent,506.1588639838054
15,congruent,336.42388163869265
21,congruent,517.4418256687006
6,incongruent,559.3762347140843
19,incongruent,466.6179807027637
46,congruent,477.99161764610557
21,congruent,464.88257192079135
6,congruent,437.63056573113533
32,incongruent,622.7589085995493
48,congruent,500.1170433739937
43,congruent,369.16862236065833
14,incongruent,550.242963941031
23,incongruent,399.70557034543003
27,incongruent,523.0564438300012
13,congruent,501.5928376849953
14,congruent,487.66080044501626
12,incongruent,460.8551295528331
49,congruent,559.7182274394158
37,incongruent,405.42259101778563
42,congruent,475.20552832680363
41,incongruent,576.416446160758
47,congruent,425.62230788562175
6,incongruent,587.8603966502878
44,congruent,390.22982590963284
4,incongruent,451.76251123736466
24,incongruent,452.4704707319849
30,congruent,547.9172334360245
18,congruent,339.5376127286149
8,congruent,353.512727311551
10,incongruent,586.0010820232119
41,congruent,414.41437058928193
16,congruent,384.31482699946014
16,congruent,460.80267257181396
46,incongruent,355.90877289736727
8,incongruent,352.46014304670405
45,incongruent,604.1391137934819
46,congruent,622.1959795494739
30,congruent,555.7129493688309
9,incongruent,594.9406575533072
8,incongruent,432.57517821800036
14,congruent,633.7376200836361
29,incongruent,375.73160576807555
8,incongruent,388.5199047216531
23,incongruent,673.7451468802271
6,incongruent,519.4741597374593
27,congruent,596.0043804477561
2,incongruent,638.398588903639
35,incongruent,512.1882488969275
3,incongruent,371.9765662722068
10,incongruent,544.3896918725183
9,incongruent,542.2175030095714
41,incongruent,529.3743105788417
3,congruent,452.8504339316795
22,incongruent,487.3853955470263
29,incongruent,407.20171953591046
26,incongruent,532.5636117696221
34,congruent,489.7074530685876
40,congruent,595.8906643160047
20,congruent,347.13975114179163
41,congruent,402.1921142618969
16,incongruent,587.4552958278748
49,congruent,411.17691023241355
25,congruent,507.05801103163117
37,incongruent,618.9331768221844
43,incongruent,491.02062836489745
39,incongruent,590.630107692185
42,incongruent,496.3242082342401
27,incongruent,562.0059658888362
3,incongruent,635.9321233365933
25,incongruent,465.65831202994127
9,incongruent,457.7334531268317
44,incongruent,457.59630545273484
12,incongruent,520.8133163798299
12,incongruent,434.2858252442545
13,congruent,482.14569958726526
32,congruent,627.0981530167323
28,incongruent,557.8797179646353
47,incongruent,495.34638315311736
21,congruent,485.2106599580254
14,congruent,473.3838716883143
3,congruent,503.9816326701644
1,incongruent,327.7627238595911
19,congruent,502.45075530343814
46,congruent,640.5081690213852
26,incongruent,528.4530543848346
44,congruent,625.0256124907837
5,congruent,527.6885961042024
5,incongruent,379.78998396663565
41,congruent,496.6077255645667
6,incongruent,525.9741440217949
3,congruent,531.438050111372
20,congruent,389.66434929062706
46,congruent,500.7951527802969
34,congruent,525.001413218721
5,congruent,510.2308327724631
42,incongruent,574.6062847368213
42,congruent,433.8182484498741
40,congruent,488.80115548307947
45,congruent,551.6382215279748
12,incongruent,450.46604821623544
48,congruent,469.30179743279905
16,congruent,593.3851085982658
40,incongruent,486.31250641275176
29,congruent,449.99861337873466
39,congruent,557.6139831797512
31,incongruent,602.8683987298299
32,incongruent,563.7046000216578
31,incongruent,498.44479551471096
39,congruent,522.8558840132382
37,congruent,441.5521006958856
7,congruent,447.5656078524795
41,congruent,389.27136004784376
27,congruent,490.1533011215467
16,incongruent,439.68049175512954
26,congruent,466.37777534876017
48,congruent,492.6163538374128
43,congruent,493.4357554106266
41,congruent,522.8724965467019
23,incongruent,417.6461250400061
39,congruent,513.3480264379625
19,incongruent,499.9215867242008
34,congruent,509.3800044085283
32,incongruent,368.8434173051655
13,incongruent,667.937551626537
14,incongruent,437.6467277843898
3,congruent,458.7127907602232
7,congruent,359.17080647951894
22,incongruent,536.3005526349235
24,incongruent,584.230355094392
9,incongruent,372.0041775952975
21,congruent,481.6701117712769
30,congruent,510.48190370821624
12,incongruent,534.8490553997226
17,incongruent,666.5172748029665
19,congruent,622.7217899310608
25,incongruent,475.8901155857369
18,incongruent,355.7121179392203
37,congruent,475.1699940181167
17,incongruent,484.26478464866545
22,congruent,441.4212203518521
19,congruent,440.63305771308836
9,incongruent,393.4986205684615
34,congruent,499.80539001219637
12,congruent,501.75630347374835
15,incongruent,385.20040485048435
39,incongruent,486.1675159466267
47,incongruent,692.2557008057785
33,incongruent,448.15340187896675
45,congruent,553.478760537813
42,congruent,513.7468526852675
24,incongruent,563.2194428778146
38,incongruent,526.6492780292551
17,incongruent,397.2542765671587
23,incongruent,593.6855204550449
27,incongruent,499.0050484561112
48,incongruent,334.5147495023638
42,congruent,598.0387623265767
24,congruent,758.1735066203099
32,congruent,611.9055794512487
10,incongruent,423.6520055134274
40,congruent,461.2893874619322
28,incongruent,598.5190340405752
27,incongruent,470.7494225932479
38,congruent,606.3866610122776
32,incongruent,476.2474161862316
4,congruent,592.8298018526234
15,incongruent,644.4582608108733
9,congruent,514.9120103729663
37,congruent,435.86957494516577
2,incongruent,411.4916600976854
10,incongruent,529.3732886435228
30,congruent,517.6372061608163
35,congruent,603.4768599133002
25,congruent,490.6032363536267
43,incongruent,563.5265636379526
46,incongruent,508.21427563569665
7,congruent,385.70885041690764
47,congruent,470.54310353126164
31,incongruent,402.9396634678843
32,congruent,485.07266186040175
5,incongruent,455.4272829555261
31,congruent,366.9887890106321
36,incongruent,463.31348432972914
29,congruent,520.4656300883254
5,congruent,426.99286967427486
26,incongruent,489.58475787588105
46,congruent,535.7677699417944
36,incongruent,439.6738644411595
7,congruent,550.828484551527
48,congruent,475.3989655156762
47,incongruent,357.5129257614168
9,congruent,460.76839286368045
40,incongruent,562.369698207466
20,congruent,461.04163681979134
30,incongruent,587.500471415095
22,incongruent,453.0799848649119
39,congruent,480.9726036800574
49,congruent,452.7434100581819
39,incongruent,480.4954602439932
46,congruent,474.66437416271833
47,congruent,457.8204390895801
5,incongruent,371.80641425730755
13,incongruent,484.4820866605293
36,incongruent,393.90660947126776
29,congruent,388.76411572735253
3,incongruent,527.8813225185814
5,incongruent,546.7150383738374
26,incongruent,489.5000223677456
31,incongruent,485.4883266679516
9,congruent,502.03445717615944
9,incongruent,440.75447138131307
7,incongruent,546.3747686048536
28,incongruent,499.2594908099383
1,congruent,574.3252628519477
29,congruent,283.6958473156724
24,incongruent,527.576253332935
23,incongruent,654.1969428347813
34,incongruent,510.0435696351824
26,incongruent,338.4606303150904
36,incongruent,390.5968721681136
38,incongruent,518.8184385025871
46,congruent,465.5502420698367
40,congruent,379.87911408199335
26,congruent,360.76720435655267
25,congruent,567.0433045102443
12,congruent,398.3663433365434
30,congruent,392.1079830329957
7,incongruent,521.3546906938082
46,incongruent,481.30423781241126
42,congruent,520.395584478811
6,incongruent,415.02233770421753
39,congruent,572.0669259471252
6,incongruent,578.2771756740933
36,congruent,476.2758698680359
5,congruent,459.8466772425585
24,incongruent,552.9857681081053
33,congruent,572.2900485493011
36,congruent,503.9606552471234
21,congruent,486.08058656752075
46,congruent,587.6447230629751
38,congruent,652.1948725399789
11,congruent,550.2861466989643
33,incongruent,541.7536870616552
36,incongruent,488.5866970558104
17,incongruent,474.4841685570536
37,incongruent,579.8390583633043
45,congruent,502.86679674974073
41,incongruent,624.9669964358479
38,congruent,540.9411956940633
32,incongruent,615.0917510688442
14,incongruent,349.5614371968832
39,congruent,512.4051958492773
18,incongruent,330.9266565467467
27,incongruent,614.8876125499851
16,congruent,569.0649803888068
16,congruent,477.0660772657321
8,incongruent,590.7252877985699
48,incongruent,390.38596941135387
8,congruent,313.50779223994664
5,congruent,472.0024921287198
46,congruent,553.4556707251445
28,congruent,441.62700494652205
22,incongruent,359.12128673684737
37,incongruent,490.2712334098104
19,incongruent,546.687319120006
7,congruent,573.9658655625934
36,incongruent,512.5199844920255
9,congruent,406.3917576925876
28,congruent,439.62287743175375
47,congruent,493.12302462608744
46,congruent,608.0367050845698
18,congruent,439.95048615913475
39,congruent,401.8918108851228
31,congruent,560.4063700768343
24,incongruent,448.59541217934
7,congruent,548.8529919805607
19,congruent,597.4800009362893
32,congruent,372.2488092096499
49,incongruent,559.7592662286754
1,congruent,432.2732192155663
36,congruent,404.62091410254527
42,incongruent,518.5515549414109
47,incongruent,490.403551100637
21,incongruent,369.51265738157383
6,congruent,535.74763414001
14,congruent,522.4899315438324
42,incongruent,517.0982046559078
44,congruent,499.37465958736686
32,congruent,507.15282297831914
7,congruent,562.1981558496927
6,congruent,515.7798684933778
24,congruent,411.5411086331092
29,congruent,496.25666340354326
2,congruent,536.178885587107
34,incongruent,467.05979799524414
27,congruent,630.8704313561618
1,incongruent,537.420482843757
5,incongruent,526.3788243785148
23,incongruent,547.5410325709811
36,congruent,489.08714513412065
41,congruent,552.3054769097146
22,congruent,537.7605692417397
15,incongruent,504.0837430318435
48,congruent,515.9987080754391
23,congruent,496.32319343355965
16,congruent,562.668718576721
22,incongruent,433.8152573852829
1,incongruent,474.7032921857341
15,congruent,356.30603525978984
26,incongruent,575.3295040000496
46,congruent,585.4733255969884
37,congruent,444.83896725413126
39,incongruent,375.7572665719063
27,congruent,549.4119309817261
6,congruent,524.682232850426
20,incongruent,560.6906807413415
49,incongruent,561.4193480105337
3,congruent,414.57096675075263
44,incongruent,545.501672952356
34,incongruent,516.451911828452
14,incongruent,600.0239059697152
39,incongruent,424.91644627519776
42,incongruent,600.6417743083636
3,incongruent,509.2930384923806
6,incongruent,534.6747607005722
33,incongruent,357.1219832180701
49,incongruent,458.3514461071324
2,incongruent,595.9201756766569
33,incongruent,472.1274208612918
7,incongruent,581.7443076264395
32,incongruent,400.2788226769421
31,congruent,537.8490214565343
5,congruent,435.7271682289529
34,congruent,642.7839201891521
44,incongruent,638.8817084492135
43,incongruent,584.3317367528789
2,incongruent,619.3864113796621
13,incongruent,549.2813821998636
12,congruent,741.9771983304339
23,congruent,498.90259143044716
8,incongruent,529.3578416695893
42,incongruent,516.219814611601
39,incongruent,454.89285296021245
40,incongruent,382.1952055842372
10,incongruent,476.94999184819795
1,incongruent,495.5921138987885
45,congruent,559.7960225845969
15,incongruent,506.48900924255537
33,incongruent,708.827834144116
45,incongruent,377.83627450717427
2,congruent,509.2342311882603
1,incongruent,477.59371848987973
1,incongruent,596.3651948492511
8,incongruent,625.6030427423893
3,incongruent,460.8529101533325
41,congruent,576.9988937283634
30,incongruent,514.0170213395457
49,congruent,525.3051469689524
40,incongruent,516.0065216211069
48,incongruent,528.4783061713249
12,congruent,429.6478530650503
15,congruent,529.3711682690758
42,congruent,481.0405739521443
12,incongruent,527.7627951248146
3,incongruent,552.1510969988569
33,congruent,587.5117526181307
40,congruent,611.2004406948737
48,congruent,495.25389910591355
46,congruent,445.22129944716016
6,incongruent,483.41495762579365
38,incongruent,613.533432660009
42,congruent,505.1686506188248
35,incongruent,433.5661639911823
41,incongruent,510.4270374870009
42,congruent,459.1173102432009
22,congruent,461.1402261557905
2,incongruent,445.56847390644947
23,incongruent,542.1446113463347
10,congruent,494.8845626609882
6,incongruent,580.709506096853
7,incongruent,393.90186538627063
35,incongruent,500.81394711165336
25,congruent,454.7887888510025
27,incongruent,647.1516746426436
37,incongruent,645.6088824839779
27,incongruent,361.1591651166494
31,congruent,682.619512996109
5,incongruent,466.7094030305359
42,incongruent,489.9898370093404
22,incongruent,376.9986987178019
8,incongruent,548.8592920673476
40,incongruent,362.2132908504765
36,incongruent,503.4066481932287
3,incongruent,522.6046423532853
10,incongruent,524.5969318095661
1,congruent,619.6027250812783
14,congruent,496.84706691254615
5,congruent,526.9162291233395
35,incongruent,443.6117834897469
26,incongruent,505.78501249497907
49,incongruent,611.7629739329885
37,incongruent,573.1750603887472
30,incongruent,626.6585321028599
25,incongruent,584.3058496684125
3,incongruent,483.9992556425239
4,congruent,632.5248550031592
31,congruent,534.9688393511225
1,incongruent,542.0423875136009
3,incongruent,437.2389978745414
11,congruent,646.5362627144708
44,incongruent,405.61191917561257
23,congruent,309.9351405294102
35,incongruent,447.0575720408436
21,incongruent,563.0508613310227
9,congruent,513.1890491972521
19,incongruent,411.97408867797054
5,congruent,456.0924456484708
38,congruent,563.2514909395248
9,congruent,384.4036908928058
19,congruent,437.95601535944814
49,congruent,616.4014075302645
30,congruent,448.0651348118355
23,congruent,576.9422041047139
27,congruent,383.5230933952598
39,incongruent,501.01157842466375
13,congruent,533.1224568924266
32,incongruent,397.5698542600626
43,congruent,528.3362675220634
29,congruent,499.38704059507165
22,congruent,499.36465766906593
8,incongruent,579.4368749116724
13,incongruent,479.0930172155271
47,incongruent,415.7152626787376
27,congruent,642.9038476239505
15,congruent,618.0079310347801
21,congruent,499.36213200357554
29,congruent,568.3292180160531
27,congruent,488.4597854968027
35,congruent,491.49606026440006
13,congruent,498.31557626201356
32,congruent,534.2847135671938
22,incongruent,488.27931223380256
47,congruent,595.4387810682258
8,congruent,443.5612543857929
8,incongruent,530.6877567174828
23,incongruent,549.2304776872594
25,incongruent,526.8736564008631
34,congruent,533.1563821337846
20,incongruent,409.2381579026475
45,congruent,502.4842323264329
24,incongruent,562.4442311299907
7,incongruent,399.00030682331584
6,incongruent,464.4651910549258
48,congruent,588.8403729725188
7,incongruent,419.78581824982854
47,incongruent,517.9109813513865
14,congruent,536.8387110813894
5,incongruent,445.17031982531125
15,incongruent,565.7313070635112
31,congruent,714.4850853824129
21,congruent,504.2857355549596
39,incongruent,562.6909722094235
30,congruent,522.085476839281
20,congruent,486.3864518593249
32,incongruent,494.24378769791934
48,incongruent,356.1399774021513
21,incongruent,606.1966204470981
8,congruent,542.0848882605318
21,incongruent,616.8467353149285
42,congruent,538.6370292579553
11,incongruent,498.7977059668416
47,congruent,535.0388054283494
29,incongruent,385.3696236138518
30,congruent,613.1520139840351
